BOROLTD,20230519,412.5,418.35,396.85,410.95,139802,
BORORENEW,20230519,508.25,527.45,504.0,508.8,142303,
BOSCHLTD,20230519,19160.0,19160.0,18716.1,18884.2,25164,
BPCL,20230519,360.1,362.5,357.6,360.3,1157763,
BPL,20230519,60.05,60.05,58.0,58.6,31594,
BRIGADE,20230519,526.0,545.95,525.2,542.75,262809,
BRITANNIA,20230519,4588.0,4593.1,4484.15,4499.85,367664,
BRNL,20230519,29.55,33.55,29.2,31.6,358281,
BROOKS,20230519,62.3,63.55,62.1,62.35,6912,
BSE,20230519,529.9,529.95,521.0,524.15,453045,
BSL,20230519,191.6,192.95,188.55,191.3,6578,
BSLGOLDETF,20230519,54.7,54.7,54.08,54.35,10363,
BSLNIFTY,20230519,21.1,21.1,20.39,20.55,44302,
BSLSENETFG,20230519,59.52,60.8,59.31,60.02,1775,
BSOFT,20230519,321.0,337.35,320.1,334.65,10244689,
BTML,20230519,184.4,186.0,174.85,175.6,5890,
BURNPUR,20230519,4.75,4.75,4.55,4.6,176792,
BUTTERFLY,20230519,1055.05,1058.85,977.55,1024.7,31212,
BVCL,20230519,39.7,39.7,37.45,38.25,35121,
BYKE,20230519,39.25,40.4,39.0,39.75,27281,
CAMLINFINE,20230519,169.85,174.85,169.85,172.7,291227,
CAMPUS,20230519,350.0,357.6,350.0,354.6,187533,
CAMS,20230519,2069.7,2089.5,2048.6,2081.7,55337,
CANBK,20230519,297.0,298.9,291.35,297.8,6343566,
CANFINHOME,20230519,678.95,678.95,651.0,666.35,901489,
CANTABIL,20230519,1063.3,1064.85,1031.1,1049.25,21657,
CAPACITE,20230519,170.3,171.45,165.05,168.4,668515,
CAPLIPOINT,20230519,705.25,708.65,691.1,700.1,41448,
CAPTRUST,20230519,68.65,68.85,67.55,68.25,3647,
CARBORUNIV,20230519,1164.0,1224.0,1163.15,1200.9,522643,
CAREERP,20230519,224.0,226.7,213.9,219.75,81449,
CARERATING,20230519,696.0,712.65,695.95,703.3,201483,
CARTRADE,20230519,419.0,424.45,415.05,420.6,50838,
CARYSIL,20230519,595.0,595.7,582.1,592.45,32529,
CASTROLIND,20230519,113.6,113.6,111.8,112.65,502483,
CCL,20230519,612.95,614.7,593.5,596.85,139304,
CDSL,20230519,994.0,994.95,978.1,990.1,231016,
CEATLTD,20230519,1881.55,1888.0,1820.2,1870.2,222947,
CELEBRITY,20230519,14.3,14.3,13.9,14.0,64044,
CENTENKA,20230519,400.0,403.95,389.05,390.5,88006,
CENTEXT,20230519,10.25,10.25,9.8,9.95,154882,
CENTRALBK,20230519,26.9,27.0,26.25,26.65,5490277,
CENTRUM,20230519,18.9,18.95,18.05,18.45,117941,
CENTUM,20230519,790.05,849.7,787.0,834.15,106528,
CENTURYPLY,20230519,577.0,577.0,569.0,575.05,160154,
CENTURYTEX,20230519,822.85,827.15,798.95,803.75,262107,
CERA,20230519,7430.0,7525.0,7411.05,7497.1,20200,
CEREBRAINT,20230519,6.65,6.8,6.6,6.7,450964,
CESC,20230519,72.2,72.75,71.25,71.7,2990379,
CGCL,20230519,676.0,691.0,674.0,674.35,300805,
CGPOWER,20230519,338.25,344.75,333.25,340.65,1280319,
CHALET,20230519,430.3,436.0,422.05,429.8,158307,
CHAMBLFERT,20230519,295.0,296.2,287.05,290.6,2398522,
CHEMBOND,20230519,319.0,319.8,306.55,311.85,81582,
CHEMCON,20230519,272.85,273.0,266.25,271.3,26866,
CHEMFAB,20230519,288.15,314.7,288.15,314.7,363102,
CHEMPLASTS,20230519,456.95,476.8,450.7,465.95,300192,
CHENNPETRO,20230519,353.1,364.9,345.5,350.65,3595973,
CHEVIOT,20230519,1165.0,1169.0,1155.0,1161.65,1789,
CHOICEIN,20230519,358.4,364.5,355.65,357.55,793674,
CHOLAFIN,20230519,1043.0,1049.15,1025.9,1043.4,1114239,
CHOLAHLDNG,20230519,829.0,840.0,816.0,834.1,146145,
CIGNITITEC,20230519,820.0,864.0,805.55,852.6,191062,
CINELINE,20230519,81.0,82.25,77.1,78.3,52396,
CINEVISTA,20230519,11.8,11.95,11.75,11.8,12034,
CIPLA,20230519,917.0,922.0,913.0,916.25,1168086,
CLEAN,20230519,1507.7,1512.0,1469.0,1496.4,64059,
CLEDUCATE,20230519,61.25,61.25,56.2,57.45,74909,
CLSEL,20230519,192.3,196.7,191.1,194.35,186287,
CMSINFO,20230519,315.0,319.75,306.4,307.8,313145,
COALINDIA,20230519,240.0,241.6,236.3,239.9,3810543,
COASTCORP,20230519,202.0,202.45,197.75,199.05,7026,
COCHINSHIP,20230519,547.8,549.8,538.9,542.15,329348,
COFFEEDAY,20230519,36.7,37.3,35.85,36.5,1609498,
COFORGE,20230519,4228.0,4303.45,4206.05,4278.15,343809,
COLPAL,20230519,1619.8,1622.25,1602.1,1608.75,257186,
COMPINFO,20230519,13.65,13.65,12.9,13.2,242337,
COMPUSOFT,20230519,17.8,17.85,17.45,17.65,29389,
CONCOR,20230519,625.0,630.35,610.0,626.35,2513385,
CONFIPET,20230519,61.65,62.8,60.0,61.5,1235854,
CONSOFINVT,20230519,118.2,118.2,112.25,113.85,18124,
CONSUMBEES,20230519,84.33,84.36,83.31,83.92,24523,
CONTROLPR,20230519,607.05,607.3,588.0,591.15,33325,
CORALFINAC,20230519,33.65,34.75,32.85,33.0,35950,
CORDSCABLE,20230519,83.05,95.0,81.25,93.55,3239404,
COROMANDEL,20230519,945.0,946.45,917.2,926.95,344422,
COSMOFIRST,20230519,654.5,661.95,645.7,654.05,26418,
COUNCODOS,20230519,3.95,3.95,3.85,3.95,37241,
CPSEETF,20230519,42.75,43.92,42.16,43.06,384827,
CRAFTSMAN,20230519,3577.85,3589.0,3480.0,3501.85,22716,
CREATIVE,20230519,388.05,397.95,380.65,395.7,17651,
CREDITACC,20230519,1192.5,1234.0,1186.0,1220.1,1184505,
CREST,20230519,180.75,184.4,179.05,181.05,6875,
CRISIL,20230519,3551.0,3565.0,3501.75,3548.7,8310,
CROMPTON,20230519,254.55,255.6,252.1,254.5,1778400,
CROWN,20230519,35.15,36.0,34.1,35.7,478,
CSBBANK,20230519,289.6,290.0,281.0,283.85,239825,
CSLFINANCE,20230519,219.1,222.65,212.6,214.4,38316,
CTE,20230519,55.1,55.5,53.35,54.45,18147,
CUB,20230519,139.1,141.2,138.05,140.45,1896784,
CUBEXTUB,20230519,41.4,41.4,39.9,40.15,13914,
CUMMINSIND,20230519,1645.05,1646.25,1613.05,1639.7,348650,
CUPID,20230519,257.85,259.65,255.15,257.05,98912,
CYBERMEDIA,20230519,16.95,17.45,16.35,16.5,60446,
CYBERTECH,20230519,123.0,133.3,123.0,129.4,256071,
CYIENT,20230519,1287.45,1318.05,1287.0,1299.75,774790,
DAAWAT,20230519,118.0,121.4,116.45,117.85,5105655,
DABUR,20230519,525.85,525.9,517.0,519.1,1402249,
DALBHARAT,20230519,2062.6,2081.35,2030.35,2057.65,124074,
DALMIASUG,20230519,368.9,375.35,361.0,362.85,70821,
DAMODARIND,20230519,42.35,42.4,40.35,40.85,9272,
DANGEE,20230519,12.8,13.45,12.55,13.0,252321,
DATAMATICS,20230519,471.55,511.0,467.0,492.15,2099632,
DATAPATTNS,20230519,1604.95,1628.0,1585.05,1602.75,95529,
DBCORP,20230519,119.15,124.4,113.65,120.1,1525184,
DBL,20230519,171.9,177.8,159.55,167.25,1269631,
DBOL,20230519,167.85,168.0,164.5,166.8,79723,
DBREALTY,20230519,79.85,81.9,78.2,80.7,525569,
DBSTOCKBRO,20230519,24.5,24.5,23.2,23.8,6398,
DCAL,20230519,129.75,131.0,124.75,129.65,537988,
